index,frame_count,nano_time,elapsed_ms
0,16,195483310081859,1760.216
1,43,195484326633220,2776.767
2,44,195485331722432,3781.857
3,44,195486353284312,4803.418
4,52,195487375942825,5826.077
5,46,195488385393531,6835.528
6,50,195489411164816,7861.299
7,56,195490427376049,8877.510
8,46,195491442631260,9892.765
9,52,195492454877609,10905.012
10,49,195493470100212,11920.234
11,41,195494476616684,12926.751
12,43,195495481548781,13931.683
13,45,195496494111060,14944.245
14,71,195497498391181,15948.525
15,53,195498513977632,16964.112
16,49,195499530626737,17980.761
17,80,195500547491169,18997.625
18,57,195501550612715,20000.747
19,76,195502560288635,21010.423
20,65,195503586583471,22036.718
21,50,195504588421361,23038.556
22,72,195505593630676,24043.765
23,43,195506604172385,25054.307
24,56,195507622653663,26072.788
25,54,195508634697553,27084.832
26,52,195509654557311,28104.691
27,47,195510662257213,29112.391
28,45,195511670164328,30120.299
29,41,195512678656305,31128.790
30,41,195513682758890,32132.893
31,65,195514687185373,33137.320
32,71,195515694057772,34144.192
33,60,195516713745407,35163.880
34,43,195517732855320,36182.989
35,45,195518739556374,37189.691
36,45,195519741185412,38191.320
37,50,195520756780110,39206.914
38,49,195521761400898,40211.535
39,52,195522770734295,41220.868
40,42,195523786795288,42236.929
41,69,195524793329638,43243.464
42,51,195525800088319,44250.222
43,48,195526801690524,45251.825
44,58,195527803006850,46253.141
45,61,195528809456843,47259.591
46,45,195529814908203,48265.042
47,45,195530826314310,49276.448
48,55,195531826802344,50276.937
49,71,195532828401703,51278.536
50,67,195533837918197,52288.052
51,54,195534849038983,53299.173
52,65,195535853042825,54303.177
53,49,195536855901629,55306.036
54,71,195537869843525,56319.978
55,52,195538880104077,57330.238
56,51,195539885949966,58336.084
57,62,195540900745126,59350.879
58,44,195541908721739,60358.856
59,66,195542929104956,61379.239
60,42,195543953658948,62403.793
61,46,195544964700178,63414.834
62,47,195545987042237,64437.176
63,45,195547011453411,65461.588
64,50,195548022162897,66472.297
65,62,195549042500213,67492.634
66,48,195550055386885,68505.521
67,47,195551056769969,69506.904
68,46,195552071183782,70521.318
69,54,195553085986183,71536.120
70,42,195554094358354,72544.493
71,47,195555106320879,73556.455
72,64,195556113642915,74563.777
73,54,195557137076967,75587.211
74,65,195558145814798,76595.949
75,48,195559152357315,77602.491
76,50,195560156155485,78606.290
77,43,195561176914286,79627.048
78,51,195562185807022,80635.941
79,56,195563204235883,81654.370
80,55,195564210461829,82660.596
81,43,195565232296115,83682.430
82,53,195566242638016,84692.772
83,71,195567246496625,85696.631
84,53,195568252070238,86702.204
85,65,195569267648604,87717.783
86,53,195570268949839,88719.084
87,77,195571270017036,89720.151
88,66,195572280113411,90730.248
89,43,195573288976069,91739.110
90,45,195574294623704,92744.758
91,43,195575307962883,93758.097
92,48,195576314336857,94764.471
93,49,195577318785134,95768.919
94,54,195578333692341,96783.827
95,47,195579352874302,97803.008
96,52,195580356190144,98806.324
97,56,195581365638726,99815.773
98,48,195582368752404,100818.887
99,48,195583371010946,101821.145
100,57,195584376416446,102826.551
101,52,195585394829395,103844.964
102,46,195586395558844,104845.693
103,40,195587408516682,105858.651
104,54,195588410629752,106860.764
105,58,195589414916159,107865.050
106,41,195590429653671,108879.788
107,45,195591441562841,109891.697
108,60,195592460575139,110910.709
109,58,195593462291800,111912.426
110,50,195594468424930,112918.559
111,58,195595476301756,113926.436
112,62,195596478045306,114928.179
113,62,195597488888768,115939.023
114,46,195598501797205,116951.931
115,67,195599505168179,117955.302
116,49,195600510108776,118960.243
117,48,195601514218897,119964.353
118,70,195602520067993,120970.202
