index,frame_count,nano_time,elapsed_ms
0,24,198163306178254,2074.091
1,58,198164314180752,3082.094
2,78,198165317193043,4085.106
3,94,198166319213829,5087.127
4,91,198167329162371,6097.075
5,84,198168338740539,7106.654
6,100,198169344242554,8112.156
7,101,198170346923161,9114.836
8,80,198171349004773,10116.918
9,95,198172353996504,11121.909
10,92,198173355153886,12123.067
11,84,198174370129426,13138.042
12,67,198175382046315,14149.959
13,96,198176393382327,15161.295
14,77,198177404427460,16172.340
15,79,198178406744797,17174.658
16,102,198179410918192,18178.831
17,78,198180415912050,19183.825
18,92,198181430805094,20198.718
19,95,198182442353319,21210.266
20,92,198183454206815,22222.120
21,86,198184459173009,23227.086
22,79,198185462755024,24230.668
23,96,198186467318443,25235.231
24,90,198187472330930,26240.244
25,64,198188475774412,27243.687
26,100,198189479368893,28247.282
27,89,198190488600248,29256.513
28,102,198191497796327,30265.709
29,74,198192501507768,31269.421
30,86,198193510502166,32278.415
31,87,198194513602398,33281.515
32,94,198195519441379,34287.354
33,93,198196530445194,35298.358
34,90,198197539565012,36307.478
35,71,198198540519787,37308.433
36,98,198199544178605,38312.092
37,77,198200546264366,39314.177
38,75,198201548473548,40316.387
39,67,198202551105206,41319.018
40,91,198203551706165,42319.619
41,64,198204554429534,43322.343
42,83,198205555245852,44323.159
43,86,198206557814073,45325.727
44,90,198207565642727,46333.556
45,74,198208571842364,47339.755
46,89,198209584747487,48352.660
47,92,198210585990572,49353.904
48,87,198211598020773,50365.934
49,79,198212604950014,51372.863
50,78,198213612876577,52380.790
51,104,198214623681898,53391.595
52,97,198215634271034,54402.184
53,63,198216649737750,55417.651
54,82,198217654405497,56422.318
55,96,198218659857907,57427.771
56,89,198219665625791,58433.539
57,82,198220674096190,59442.009
58,100,198221680516910,60448.430
59,81,198222680651756,61448.565
60,79,198223695780395,62463.693
61,86,198224700047440,63467.960
62,85,198225700018600,64467.932
63,88,198226714011885,65481.925
64,95,198227729180107,66497.093
65,79,198228739127451,67507.040
66,53,198229739963542,68507.877
67,93,198230749080559,69516.994
68,96,198231752768794,70520.682
69,100,198232764164312,71532.077
70,81,198233771624968,72539.538
71,87,198234785036523,73552.950
72,79,198235796158150,74564.071
73,89,198236804347250,75572.260
74,51,198237805885476,76573.798
75,89,198238821385631,77589.299
76,100,198239830084838,78597.998
77,90,198240830605918,79598.519
78,98,198241836473858,80604.387
79,65,198242855393592,81623.307
80,70,198243855121531,82623.035
81,80,198244868962819,83636.876
82,66,198245879980728,84647.894
83,78,198246896220692,85664.134
84,65,198247909518752,86677.432
85,58,198248924821716,87692.735
86,74,198249940081852,88707.995
87,82,198250949170787,89717.084
88,79,198251960765520,90728.679
89,90,198252961848760,91729.762
90,101,198253967133637,92735.047
91,75,198254968127895,93736.041
92,96,198255972341033,94740.254
93,81,198256977461082,95745.374
94,92,198257990435337,96758.348
95,89,198258998992027,97766.905
96,95,198260003887923,98771.801
97,98,198261006595870,99774.509
98,80,198262007481239,100775.394
99,97,198263007968309,101775.881
100,99,198264014672135,102782.585
101,88,198265015370343,103783.283
102,83,198266044718585,104812.632
103,84,198267052706089,105820.619
104,82,198268064111840,106832.025
105,74,198269070308329,107838.221
106,59,198270074619623,108842.533
107,91,198271088238543,109856.152
108,92,198272088333134,110856.246
109,101,198273094004649,111861.918
110,87,198274107507075,112875.420
111,70,198275114176998,113882.090
112,83,198276115965664,114883.879
113,79,198277130901302,115898.814
114,88,198278143244525,116911.158
115,64,198279151922289,117919.835
116,86,198280152081011,118919.994
117,92,198281164290726,119932.204
118,75,198282170186007,120938.099
