index,frame_count,nano_time,elapsed_ms
0,18,194144674185771,1733.702
1,41,194145683991604,2743.508
2,49,194146691905269,3751.422
3,49,194147703842024,4763.358
4,46,194148716122077,5775.638
5,50,194149722727479,6782.244
6,63,194150732322974,7791.839
7,70,194151741723629,8801.240
8,46,194152749289190,9808.806
9,46,194153755036938,10814.553
10,42,194154759476959,11818.993
11,46,194155777712581,12837.229
12,50,194156780478920,13839.995
13,63,194157793770533,14853.287
14,58,194158798192872,15857.709
15,45,194159816049493,16875.566
16,46,194160834492379,17894.009
17,66,194161842924083,18902.440
18,50,194162843824343,19903.341
19,49,194163851998814,20911.515
20,49,194164858987782,21918.504
21,59,194165866063956,22925.580
22,74,194166881258598,23940.775
23,50,194167884307785,24943.824
24,60,194168897684824,25957.201
25,64,194169913005730,26972.522
26,48,194170938065059,27997.581
27,68,194171944150448,29003.667
28,45,194172954179449,30013.696
29,43,194173973852684,31033.369
30,56,194174977730627,32037.247
31,57,194175979015877,33038.532
32,59,194176991703780,34051.220
33,46,194178006260110,35065.776
34,55,194179048468123,36107.984
35,50,194180064636355,37124.153
36,73,194181082790530,38142.307
37,53,194182107577850,39167.094
38,54,194183127119686,40186.636
39,46,194184128080284,41187.597
40,57,194185135902262,42195.419
41,62,194186147039235,43206.556
42,50,194187148196838,44207.713
43,67,194188172173420,45231.690
44,69,194189182438182,46241.955
45,49,194190190814898,47250.331
46,57,194191190873935,48250.390
47,68,194192209342858,49268.859
48,45,194193219619215,50279.136
49,62,194194223658180,51283.175
50,52,194195242804903,52302.321
51,46,194196246074879,53305.591
52,48,194197246848745,54306.365
53,45,194198248598258,55308.115
54,47,194199270876707,56330.393
55,51,194200280068865,57339.585
56,52,194201296355021,58355.871
57,62,194202307077748,59366.594
58,63,194203315370590,60374.887
59,52,194204321390999,61380.907
60,52,194205321889977,62381.406
61,87,194206322832760,63382.349
62,41,194207339946473,64399.463
63,64,194208348296437,65407.813
64,56,194209372135803,66431.652
65,62,194210373064591,67432.581
66,47,194211389490109,68449.006
67,57,194212410198989,69469.715
68,45,194213417290064,70476.806
69,58,194214426682107,71486.198
70,65,194215441322175,72500.839
71,55,194216465682646,73525.199
72,58,194217470703039,74530.219
73,50,194218479183642,75538.700
74,61,194219499117281,76558.634
75,58,194220506957645,77566.474
76,61,194221512685993,78572.202
77,58,194222513716637,79573.233
78,41,194223536199248,80595.716
79,47,194224540226866,81599.743
80,57,194225545623083,82605.139
81,61,194226560458543,83619.975
82,52,194227574566036,84634.082
83,59,194228575168500,85634.685
84,54,194229585838948,86645.355
85,51,194230597217697,87656.734
86,48,194231603939063,88663.455
87,43,194232612917139,89672.433
88,47,194233615860859,90675.377
89,54,194234622943959,91682.460
90,48,194235629386673,92688.903
91,51,194236635500887,93695.017
92,70,194237650832749,94710.349
93,53,194238657534392,95717.051
94,41,194239678095627,96737.612
95,46,194240687738834,97747.255
96,62,194241700252670,98759.769
97,47,194242702063303,99761.580
98,45,194243722455520,100781.972
99,50,194244736035790,101795.552
100,68,194245748146325,102807.663
101,53,194246751007959,103810.524
102,44,194247768626086,104828.142
103,59,194248775025018,105834.541
104,49,194249785881778,106845.398
105,61,194250795448728,107854.965
106,70,194251797622903,108857.139
107,60,194252806267635,109865.784
108,61,194253808666133,110868.182
109,48,194254813972009,111873.488
110,44,194255832073408,112891.590
111,67,194256834995738,113894.512
112,79,194257851388928,114910.905
113,50,194258861062322,115920.579
114,62,194259866672275,116926.189
115,60,194260881131939,117940.648
116,59,194261890067655,118949.584
117,73,194262900876670,119960.393
118,44,194263917912322,120977.429
