index,frame_count,nano_time,elapsed_ms
0,18,198650555196114,1971.597
1,50,198651560350743,2976.751
2,82,198652568086334,3984.487
3,90,198653572236930,4988.638
4,83,198654580017978,5996.419
5,88,198655595419411,7011.820
6,70,198656608366522,8024.767
7,73,198657623955384,9040.356
8,98,198658631806063,10048.207
9,84,198659632331087,11048.732
10,94,198660642727342,12059.128
11,88,198661643177231,13059.578
12,100,198662643934802,14060.335
13,93,198663652718398,15069.119
14,77,198664657026695,16073.427
15,63,198665665049467,17081.450
16,87,198666665666379,18082.067
17,70,198667676195078,19092.596
18,86,198668676846854,20093.247
19,93,198669679814310,21096.215
20,96,198670687847813,22104.248
21,90,198671695447555,23111.848
22,75,198672701735090,24118.136
23,93,198673707883931,25124.285
24,95,198674714536564,26130.937
25,95,198675723436022,27139.837
26,75,198676733408200,28149.809
27,84,198677734166744,29150.567
28,81,198678749631877,30166.032
29,91,198679750009778,31166.410
30,79,198680751003022,32167.404
31,70,198681763840328,33180.241
32,85,198682767776250,34184.177
33,86,198683782146263,35198.547
34,102,198684794088082,36210.489
35,77,198685805152147,37221.553
36,86,198686814242030,38230.643
37,69,198687817678307,39234.079
38,98,198688826802147,40243.203
39,84,198689833240620,41249.641
40,90,198690836566604,42252.967
41,87,198691848946281,43265.347
42,82,198692860310615,44276.711
43,80,198693867801856,45284.202
44,77,198694877901573,46294.302
45,102,198695884687751,47301.088
46,95,198696886636515,48303.037
47,87,198697889909773,49306.310
48,91,198698895974599,50312.375
49,92,198699906047280,51322.448
50,81,198700912417985,52328.819
51,81,198701922341055,53338.742
52,83,198702924526490,54340.927
53,61,198703935554220,55351.955
54,66,198704944767444,56361.168
55,92,198705950046261,57366.447
56,84,198706951202827,58367.603
57,94,198707964148512,59380.549
58,100,198708968883319,60385.284
59,92,198709983191914,61399.593
60,94,198710994460011,62410.861
61,82,198711994414850,63410.815
62,73,198712996018557,64412.419
63,65,198714001724577,65418.125
64,96,198715008784114,66425.185
65,80,198716010558041,67426.959
66,95,198717017992868,68434.393
67,86,198718029644687,69446.045
68,86,198719031309541,70447.710
69,78,198720040851873,71457.252
70,100,198721045941811,72462.342
71,94,198722047862194,73464.263
72,77,198723057911060,74474.312
73,87,198724066188475,75482.589
74,94,198725080750466,76497.151
75,59,198726083608506,77500.009
76,91,198727093079854,78509.480
77,77,198728113067517,79529.468
78,79,198729122775501,80539.176
79,63,198730123421641,81539.822
80,86,198731138050251,82554.451
81,89,198732148290451,83564.691
82,64,198733163477793,84579.878
83,74,198734169011578,85585.412
84,67,198735181952626,86598.353
85,92,198736195270314,87611.671
86,89,198737217045609,88633.446
87,58,198738229699259,89646.100
88,85,198739231415223,90647.816
89,79,198740239373718,91655.774
90,77,198741256214448,92672.615
91,87,198742268785260,93685.186
92,72,198743270924149,94687.325
93,89,198744272415466,95688.816
94,93,198745280973813,96697.374
95,76,198746303037381,97719.438
96,95,198747304885691,98721.286
97,90,198748315042398,99731.443
98,91,198749320811551,100737.212
99,81,198750334791265,101751.192
100,93,198751345206696,102761.607
101,89,198752354557939,103770.959
102,93,198753359677453,104776.078
103,78,198754360759872,105777.160
104,91,198755376590329,106792.991
105,93,198756389863490,107806.264
106,99,198757400258783,108816.659
107,86,198758412797574,109829.198
108,95,198759417566782,110833.967
109,96,198760421200623,111837.601
110,95,198761427526711,112843.927
111,86,198762446449603,113862.850
112,52,198763449320944,114865.722
113,71,198764453800531,115870.201
114,94,198765463215890,116879.616
115,82,198766483074113,117899.475
116,74,198767484440644,118900.841
117,98,198768484687627,119901.088
118,52,198769485306787,120901.707
