java_version,seed,num_measurements,start_elapsed_ms,end_elapsed_ms,total_elapsed_ms,total_elapsed_sec,avg_fps,avg_frame_count,sum_frame_count,test_id
8,1943520067,119,1735.906,120620.226,118884.31999999999,118.88431999999999,0.48114685448148914,78.65546218487395,9360.0,2
22,4031530085,119,2039.555,120905.646,118866.091,118.866091,0.4290988575573074,79.3529411764706,9443.0,2
22,3530267704,118,1973.801,120002.399,118028.598,118.028598,0.64341718545799,80.95762711864407,9553.0,2
8,3534201447,119,1747.557,120787.356,119039.799,119.039799,0.601984416519139,78.58823529411765,9352.0,2
8,3724544668,119,1725.316,120568.147,118842.83099999999,118.84283099999999,0.5769010598043997,81.94117647058823,9751.0,2
8,1033437363,119,1773.39,120724.75,118951.36,118.95136,0.6303298463185437,79.71428571428571,9486.0,2
22,4129079762,119,2052.748,120690.641,118637.893,118.63789299999999,0.7482658130114258,103.54621848739495,12322.0,2
8,779353579,119,1778.995,120446.634,118667.63900000001,118.66763900000001,0.7312742315654956,105.91596638655462,12604.0,2
8,197181812,119,1706.969,120667.731,118960.762,118.960762,0.5311474636694248,76.08403361344538,9054.0,2
22,2882986532,119,1920.702,120841.729,118921.027,118.921027,0.41872310634498067,81.36974789915966,9683.0,2
22,2663508704,119,2017.661,120913.481,118895.82,118.89582,0.44616849185190377,79.99159663865547,9519.0,2
8,4163503295,119,1732.264,120551.559,118819.295,118.819295,0.35883382425592025,78.26050420168067,9313.0,2
22,1943520067,119,1959.341,120817.361,118858.02,118.85802000000001,0.5378422758627331,82.03361344537815,9762.0,2
8,3053474506,118,1731.533,120073.04,118341.507,118.341507,0.3496578054358399,59.58474576271186,7031.0,2
8,1774789858,119,1736.835,120378.404,118641.56899999999,118.64156899999999,0.7482725857181592,107.42857142857143,12784.0,2
8,3411503267,119,1851.518,120983.112,119131.594,119.13159399999999,0.2751754679840578,52.20168067226891,6212.0,2
22,2852405230,119,1920.561,120816.911,118896.34999999999,118.89635,0.6756093930341593,81.30252100840336,9675.0,2
22,3724544668,119,1914.918,120867.025,118952.10699999999,118.95210699999998,0.5048878874840695,81.3529411764706,9681.0,2
22,1033437363,119,1992.992,120925.67,118932.678,118.932678,0.49839338544422357,82.19327731092437,9781.0,2
22,197181812,119,1994.737,120986.878,118992.141,118.992141,0.6662625133636598,84.12605042016807,10011.0,2
22,4163503295,119,1891.391,120851.181,118959.79,118.95979,0.6222268721229851,79.04201680672269,9406.0,2
22,3411503267,119,1990.252,120813.457,118823.205,118.823205,0.46559133617488474,83.0,9877.0,2
8,4129079762,119,1715.668,120417.916,118702.24799999999,118.702248,0.7822743140398515,105.2016806722689,12519.0,2
8,2986831233,119,1753.493,120672.526,118919.033,118.919033,0.5959443321199939,82.12605042016807,9773.0,2
8,3530267704,119,1742.122,120874.218,119132.09599999999,119.13209599999999,0.3338956315906387,80.03361344537815,9524.0,2
8,3385079617,119,1768.476,120641.357,118872.88100000001,118.872881,0.4760333324299493,83.15126050420169,9895.0,2
22,3053474506,119,1933.305,120673.163,118739.85800000001,118.73985800000001,0.36598298568084725,61.42016806722689,7309.0,2
22,3497448862,119,1961.372,120948.389,118987.01699999999,118.987017,0.601015073589395,79.39495798319328,9448.0,2
8,3497448862,119,1744.444,120980.069,119235.625,119.235625,0.19722673691770737,54.596638655462186,6497.0,2
22,1646684781,119,1968.12,120819.736,118851.61600000001,118.851616,0.5896198263118747,82.30252100840336,9794.0,2
8,1646684781,119,1767.053,120746.524,118979.471,118.979471,0.19505489725238462,74.58823529411765,8876.0,2
22,2986831233,119,1922.343,120836.984,118914.641,118.914641,0.650895909010408,81.46218487394958,9694.0,2
22,3385079617,119,2002.176,120842.761,118840.58499999999,118.84058499999999,0.7289050222372412,77.05042016806723,9169.0,2
22,1774789858,119,1915.628,120449.81,118534.182,118.534182,0.7715356017522116,107.50420168067227,12793.0,2
8,2663508704,119,1746.414,120911.521,119165.10699999999,119.16510699999999,0.234732587163055,54.64705882352941,6503.0,2
22,779353579,119,1950.871,120531.434,118580.563,118.580563,0.7522839149320713,106.23529411764706,12642.0,2
22,3534201447,119,1907.614,120812.877,118905.26299999999,118.90526299999999,0.7511784764100481,79.43697478991596,9453.0,2
8,2852405230,119,1783.656,120672.339,118888.683,118.888683,0.3404511321621341,78.49579831932773,9341.0,2
8,4031530085,118,1769.131,120053.718,118284.587,118.284587,0.3317057146020695,52.05084745762712,6142.0,2
8,2882986532,119,1735.131,120615.203,118880.072,118.880072,0.44527106192133226,83.21848739495799,9903.0,2
Pivoted Results:,,,,,,,,,,2
,total_elapsed_sec,total_elapsed_sec,avg_fps,avg_fps,avg_frame_count,avg_frame_count,sum_frame_count,sum_frame_count,,2
java_version,22,8,22,8,22,8,22,8,,2
seed,,,,,,,,,,2
1033437363,118.932678,118.95136,0.49839338544422357,0.6303298463185437,82.19327731092437,79.71428571428571,9781.0,9486.0,,2
1646684781,118.851616,118.979471,0.5896198263118747,0.19505489725238462,82.30252100840336,74.58823529411765,9794.0,8876.0,,2
1774789858,118.534182,118.64156899999999,0.7715356017522116,0.7482725857181592,107.50420168067227,107.42857142857143,12793.0,12784.0,,2
1943520067,118.85802000000001,118.88431999999999,0.5378422758627331,0.48114685448148914,82.03361344537815,78.65546218487395,9762.0,9360.0,,2
197181812,118.992141,118.960762,0.6662625133636598,0.5311474636694248,84.12605042016807,76.08403361344538,10011.0,9054.0,,2
2663508704,118.89582,119.16510699999999,0.44616849185190377,0.234732587163055,79.99159663865547,54.64705882352941,9519.0,6503.0,,2
2852405230,118.89635,118.888683,0.6756093930341593,0.3404511321621341,81.30252100840336,78.49579831932773,9675.0,9341.0,,2
2882986532,118.921027,118.880072,0.41872310634498067,0.44527106192133226,81.36974789915966,83.21848739495799,9683.0,9903.0,,2
2986831233,118.914641,118.919033,0.650895909010408,0.5959443321199939,81.46218487394958,82.12605042016807,9694.0,9773.0,,2
3053474506,118.73985800000001,118.341507,0.36598298568084725,0.3496578054358399,61.42016806722689,59.58474576271186,7309.0,7031.0,,2
3385079617,118.84058499999999,118.872881,0.7289050222372412,0.4760333324299493,77.05042016806723,83.15126050420169,9169.0,9895.0,,2
3411503267,118.823205,119.13159399999999,0.46559133617488474,0.2751754679840578,83.0,52.20168067226891,9877.0,6212.0,,2
3497448862,118.987017,119.235625,0.601015073589395,0.19722673691770737,79.39495798319328,54.596638655462186,9448.0,6497.0,,2
3530267704,118.028598,119.13209599999999,0.64341718545799,0.3338956315906387,80.95762711864407,80.03361344537815,9553.0,9524.0,,2
3534201447,118.90526299999999,119.039799,0.7511784764100481,0.601984416519139,79.43697478991596,78.58823529411765,9453.0,9352.0,,2
3724544668,118.95210699999998,118.84283099999999,0.5048878874840695,0.5769010598043997,81.3529411764706,81.94117647058823,9681.0,9751.0,,2
4031530085,118.866091,118.284587,0.4290988575573074,0.3317057146020695,79.3529411764706,52.05084745762712,9443.0,6142.0,,2
4129079762,118.63789299999999,118.702248,0.7482658130114258,0.7822743140398515,103.54621848739495,105.2016806722689,12322.0,12519.0,,2
4163503295,118.95979,118.819295,0.6222268721229851,0.35883382425592025,79.04201680672269,78.26050420168067,9406.0,9313.0,,2
779353579,118.580563,118.66763900000001,0.7522839149320713,0.7312742315654956,106.23529411764706,105.91596638655462,12642.0,12604.0,,2
Differences (Java22 - Java8):,,,,,,,,,,2
seed,total_elapsed_sec_diff,avg_fps_diff,avg_frame_count_diff,sum_frame_count_diff,,,,,,2
1033437363,-0.01868199999999831,-0.13193646087432015,2.4789915966386644,295.0,,,,,,2
1646684781,-0.12785499999999672,0.3945649290594901,7.714285714285708,918.0,,,,,,2
1774789858,-0.10738699999998857,0.023263016034052342,0.07563025210083651,9.0,,,,,,2
1943520067,-0.026299999999977786,0.056695421381244004,3.378151260504197,402.0,,,,,,2
197181812,0.031379000000001156,0.13511504969423505,8.042016806722685,957.0,,,,,,2
2663508704,-0.2692869999999914,0.21143590468884876,25.344537815126053,3016.0,,,,,,2
2852405230,0.00766699999999787,0.33515826087202527,2.8067226890756274,334.0,,,,,,2
2882986532,0.040954999999996744,-0.02654795557635159,-1.848739495798327,-220.0,,,,,,2
2986831233,-0.004391999999995733,0.05495157689041408,-0.6638655462184886,-79.0,,,,,,2
3053474506,0.39835100000001944,0.016325180245007342,1.8354223045150277,278.0,,,,,,2
3385079617,-0.032296000000016534,0.2528716898072919,-6.100840336134453,-726.0,,,,,,2
3411503267,-0.30838899999999114,0.19041586819082695,30.798319327731093,3665.0,,,,,,2
3497448862,-0.24860800000000438,0.4037883366716876,24.798319327731093,2951.0,,,,,,2
3530267704,-1.1034979999999877,0.3095215538673513,0.9240136732659181,29.0,,,,,,2
3534201447,-0.1345360000000113,0.14919405989090906,0.8487394957983128,101.0,,,,,,2
3724544668,0.10927599999999416,-0.07201317232033011,-0.5882352941176379,-70.0,,,,,,2
4031530085,0.5815039999999954,0.09739314295523793,27.302093718843473,3301.0,,,,,,2
4129079762,-0.06435500000000616,-0.034008501028425675,-1.6554621848739544,-197.0,,,,,,2
4163503295,0.14049500000000137,0.26339304786706486,0.7815126050420105,93.0,,,,,,2
779353579,-0.08707600000001037,0.021009683366575604,0.31932773109244295,38.0,,,,,,2
8,1943520067,119,1713.388,120613.974,118900.586,118.90058599999999,0.44911626744892474,75.77310924369748,9017.0,5
22,4031530085,119,1983.001,120904.915,118921.91399999999,118.92191399999999,0.5826991417365129,79.32773109243698,9440.0,5
22,3530267704,119,1883.174,120824.61,118941.436,118.941436,0.5477332032728315,77.47899159663865,9220.0,5
8,3534201447,119,1744.759,120685.897,118941.13799999999,118.941138,0.6170265300566418,78.30252100840336,9318.0,5
8,3724544668,119,1823.064,120784.01,118960.946,118.96094599999999,0.5932121285974585,79.7983193277311,9496.0,5
8,1033437363,119,1726.424,120666.111,118939.687,118.939687,0.6853844752458443,80.2016806722689,9544.0,5
22,4129079762,119,2009.879,120660.311,118650.432,118.650432,0.7544198158841289,103.94117647058823,12369.0,5
8,779353579,119,1731.094,120370.731,118639.637,118.63963700000001,0.7505932760859109,106.47899159663865,12671.0,5
8,197181812,119,1742.66,120695.094,118952.434,118.952434,0.7595734066593111,81.77310924369748,9731.0,5
22,2882986532,119,2026.138,120933.035,118906.897,118.906897,0.5799187901264966,81.43697478991596,9691.0,5
22,2663508704,119,1914.016,120876.954,118962.938,118.962938,0.5382882353693772,81.77310924369748,9731.0,5
8,4163503295,118,1780.485,120125.958,118345.473,118.345473,0.36310024431738186,55.41525423728814,6539.0,5
22,1943520067,119,1958.817,120894.188,118935.371,118.935371,0.6073198520836317,80.96638655462185,9635.0,5
8,3053474506,118,1718.965,120050.904,118331.939,118.331939,0.3072855826281029,60.347457627118644,7121.0,5
8,1774789858,119,1708.143,120342.356,118634.213,118.634213,0.7238915827730354,106.38655462184875,12660.0,5
8,3411503267,119,1740.777,120618.456,118877.679,118.877679,0.5816483023583343,81.00840336134453,9640.0,5
22,2852405230,119,1941.076,120824.177,118883.101,118.883101,0.48010946627671414,79.18487394957984,9423.0,5
22,3724544668,119,1950.342,120882.431,118932.08899999999,118.93208899999999,0.6888342408636741,80.38655462184875,9566.0,5
22,1033437363,119,1971.627,120873.683,118902.05600000001,118.90205600000002,0.7801489002494452,81.14285714285714,9656.0,5
22,197181812,119,1926.571,120944.638,119018.06700000001,119.01806700000002,0.6375540039408315,75.15126050420169,8943.0,5
22,4163503295,119,1924.895,120876.022,118951.127,118.951127,0.5349941407222223,80.5546218487395,9586.0,5
22,3411503267,119,1893.55,120816.673,118923.12299999999,118.92312299999999,0.6148239571035371,76.99159663865547,9162.0,5
8,4129079762,119,1761.706,120490.004,118728.298,118.728298,0.7109424524051712,105.74789915966386,12584.0,5
8,2986831233,119,1744.804,120709.749,118964.94499999999,118.96494499999999,0.43647114387369845,81.26890756302521,9671.0,5
8,3530267704,119,1827.944,120763.512,118935.568,118.935568,0.5232992041325398,84.18487394957984,10018.0,5
8,3385079617,119,1779.857,120778.534,118998.677,118.998677,0.2144501807844682,80.84873949579831,9621.0,5
22,3053474506,119,1948.067,120615.06,118666.993,118.666993,0.3623670899157497,61.51260504201681,7320.0,5
22,3497448862,119,1989.66,120910.798,118921.13799999999,118.92113799999998,0.687823040304941,80.78151260504201,9613.0,5
8,3497448862,119,1736.884,120684.352,118947.468,118.94746799999999,0.5173403279453725,83.15126050420169,9895.0,5
22,1646684781,119,2021.649,120884.639,118862.98999999999,118.86299,0.7434808667093987,79.11764705882354,9415.0,5
8,1646684781,119,1750.491,120684.1,118933.60900000001,118.93360900000002,0.21861566642587332,80.56302521008404,9587.0,5
22,2986831233,119,2010.973,120953.0,118942.027,118.942027,0.48022479547136426,80.89915966386555,9627.0,5
22,3385079617,119,2009.607,120875.838,118866.231,118.866231,0.7596647596171363,82.67226890756302,9838.0,5
22,1774789858,119,1908.093,120557.827,118649.73400000001,118.64973400000001,0.7892515098322165,107.3781512605042,12778.0,5
8,2663508704,118,1739.445,120071.566,118332.121,118.332121,0.22734162393990162,50.71186440677966,5984.0,5
22,779353579,119,2002.2,120659.67,118657.47,118.65747,0.784048859317134,106.42857142857143,12665.0,5
22,3534201447,119,1910.823,120889.949,118979.12599999999,118.979126,0.4387259144441564,81.03361344537815,9643.0,5
8,2852405230,119,1763.022,121012.892,119249.87000000001,119.24987000000002,0.4226097793238347,54.02521008403362,6429.0,5
8,4031530085,119,1771.207,120670.442,118899.235,118.899235,0.6216734704920935,79.72268907563026,9487.0,5
8,2882986532,119,1743.34,120765.547,119022.20700000001,119.02220700000001,0.5281717525266777,79.83193277310924,9500.0,5
Pivoted Results:,,,,,,,,,,5
,total_elapsed_sec,total_elapsed_sec,avg_fps,avg_fps,avg_frame_count,avg_frame_count,sum_frame_count,sum_frame_count,,5
java_version,22,8,22,8,22,8,22,8,,5
seed,,,,,,,,,,5
1033437363,118.90205600000002,118.939687,0.7801489002494452,0.6853844752458443,81.14285714285714,80.2016806722689,9656.0,9544.0,,5
1646684781,118.86299,118.93360900000002,0.7434808667093987,0.21861566642587332,79.11764705882354,80.56302521008404,9415.0,9587.0,,5
1774789858,118.64973400000001,118.634213,0.7892515098322165,0.7238915827730354,107.3781512605042,106.38655462184875,12778.0,12660.0,,5
1943520067,118.935371,118.90058599999999,0.6073198520836317,0.44911626744892474,80.96638655462185,75.77310924369748,9635.0,9017.0,,5
197181812,119.01806700000002,118.952434,0.6375540039408315,0.7595734066593111,75.15126050420169,81.77310924369748,8943.0,9731.0,,5
2663508704,118.962938,118.332121,0.5382882353693772,0.22734162393990162,81.77310924369748,50.71186440677966,9731.0,5984.0,,5
2852405230,118.883101,119.24987000000002,0.48010946627671414,0.4226097793238347,79.18487394957984,54.02521008403362,9423.0,6429.0,,5
2882986532,118.906897,119.02220700000001,0.5799187901264966,0.5281717525266777,81.43697478991596,79.83193277310924,9691.0,9500.0,,5
2986831233,118.942027,118.96494499999999,0.48022479547136426,0.43647114387369845,80.89915966386555,81.26890756302521,9627.0,9671.0,,5
3053474506,118.666993,118.331939,0.3623670899157497,0.3072855826281029,61.51260504201681,60.347457627118644,7320.0,7121.0,,5
3385079617,118.866231,118.998677,0.7596647596171363,0.2144501807844682,82.67226890756302,80.84873949579831,9838.0,9621.0,,5
3411503267,118.92312299999999,118.877679,0.6148239571035371,0.5816483023583343,76.99159663865547,81.00840336134453,9162.0,9640.0,,5
3497448862,118.92113799999998,118.94746799999999,0.687823040304941,0.5173403279453725,80.78151260504201,83.15126050420169,9613.0,9895.0,,5
3530267704,118.941436,118.935568,0.5477332032728315,0.5232992041325398,77.47899159663865,84.18487394957984,9220.0,10018.0,,5
3534201447,118.979126,118.941138,0.4387259144441564,0.6170265300566418,81.03361344537815,78.30252100840336,9643.0,9318.0,,5
3724544668,118.93208899999999,118.96094599999999,0.6888342408636741,0.5932121285974585,80.38655462184875,79.7983193277311,9566.0,9496.0,,5
4031530085,118.92191399999999,118.899235,0.5826991417365129,0.6216734704920935,79.32773109243698,79.72268907563026,9440.0,9487.0,,5
