index,frame_count,nano_time,elapsed_ms
0,23,194631549094589,1814.258
1,64,194632563617436,2828.781
2,85,194633577649858,3842.813
3,92,194634597744496,4862.908
4,77,194635613648675,5878.812
5,78,194636624984304,6890.148
6,71,194637646918230,7912.082
7,68,194638662311230,8927.475
8,73,194639676701976,9941.866
9,86,194640683973159,10949.137
10,91,194641694072713,11959.236
11,77,194642696183897,12961.347
12,75,194643697767928,13962.931
13,69,194644708616267,14973.780
14,56,194645715159512,15980.323
15,69,194646727575152,16992.739
16,81,194647730002689,17995.166
17,79,194648736836171,19002.000
18,81,194649746862972,20012.026
19,67,194650756956631,21022.120
20,60,194651760441154,22025.605
21,65,194652761648566,23026.812
22,86,194653766634938,24031.798
23,65,194654776763839,25041.927
24,79,194655789796348,26054.960
25,70,194656802264831,27067.428
26,91,194657818594486,28083.758
27,88,194658838691533,29103.855
28,79,194659845653993,30110.818
29,71,194660852728116,31117.892
30,90,194661861153006,32126.317
31,68,194662861761516,33126.925
32,92,194663872140840,34137.304
33,83,194664874377585,35139.541
34,89,194665878052419,36143.216
35,91,194666880874534,37146.038
36,79,194667885337182,38150.501
37,63,194668893191089,39158.355
38,76,194669911106642,40176.270
39,70,194670916529069,41181.693
40,80,194671920513774,42185.677
41,69,194672930394772,43195.558
42,86,194673935230110,44200.394
43,95,194674939176803,45204.340
44,62,194675940461108,46205.625
45,80,194676948225445,47213.389
46,82,194677951418903,48216.582
47,98,194678961860439,49227.024
48,79,194679962411624,50227.575
49,70,194680968973022,51234.137
50,101,194681976946202,52242.110
51,85,194682984406270,53249.570
52,99,194683994315955,54259.479
53,79,194685004148228,55269.312
54,79,194686016976515,56282.140
55,83,194687028635982,57293.800
56,83,194688043956105,58309.120
57,80,194689052378851,59317.542
58,55,194690052506057,60317.670
59,87,194691066071897,61331.235
60,87,194692071058769,62336.222
61,99,194693072123030,63337.287
62,81,194694077559757,64342.723
63,97,194695090662009,65355.826
64,83,194696097999739,66363.163
65,84,194697106747672,67371.911
66,72,194698116604260,68381.768
67,72,194699116973914,69382.137
68,79,194700116872098,70382.036
69,80,194701126633166,71391.797
70,77,194702133812835,72398.976
71,56,194703144768110,73409.932
72,50,194704160430317,74425.594
73,71,194705165178709,75430.342
74,89,194706168593051,76433.757
75,80,194707173489201,77438.653
76,77,194708176585046,78441.749
77,84,194709183355038,79448.519
78,80,194710193400694,80458.564
79,81,194711196104618,81461.268
80,64,194712201534819,82466.698
81,68,194713206441964,83471.605
82,91,194714211020342,84476.184
83,68,194715228579646,85493.743
84,89,194716233876896,86499.040
85,92,194717236173176,87501.337
86,91,194718243356857,88508.520
87,91,194719248844658,89514.008
88,84,194720252980486,90518.144
89,93,194721258311022,91523.475
90,71,194722259637427,92524.801
91,89,194723266439068,93531.603
92,80,194724274986288,94540.150
93,90,194725275756521,95540.920
94,88,194726292157090,96557.321
95,80,194727296481125,97561.645
96,87,194728297292618,98562.456
97,66,194729302483149,99567.647
98,80,194730316872171,100582.036
99,80,194731330354575,101595.518
100,74,194732331662162,102596.826
101,85,194733341961646,103607.125
102,73,194734353126401,104618.290
103,76,194735364998635,105630.162
104,70,194736366452738,106631.616
105,92,194737368958121,107634.122
106,74,194738384340719,108649.504
107,81,194739389987686,109655.151
108,62,194740403168146,110668.332
109,81,194741411283219,111676.447
110,75,194742411992375,112677.156
111,94,194743426129241,113691.293
112,74,194744428950685,114694.114
113,75,194745432920019,115698.084
114,95,194746442193148,116707.357
115,79,194747458211066,117723.375
116,79,194748464779086,118729.943
117,83,194749465895523,119731.059
118,83,194750481396097,120746.560
