index,frame_count,nano_time,elapsed_ms
0,21,194996520992672,1732.739
1,47,194997527648706,2739.395
2,85,194998528523590,3740.270
3,93,194999541270710,4753.017
4,86,195000545940662,5757.687
5,90,195001547767631,6759.514
6,84,195002551781160,7763.528
7,96,195003561149349,8772.896
8,91,195004577002702,9788.749
9,77,195005582700064,10794.447
10,86,195006586841855,11798.589
11,84,195007592138751,12803.886
12,79,195008600413991,13812.161
13,69,195009602527930,14814.275
14,65,195010608335626,15820.082
15,81,195011612054068,16823.801
16,79,195012613786300,17825.533
17,82,195013620370444,18832.117
18,94,195014631244036,19842.991
19,75,195015640892959,20852.640
20,85,195016645969882,21857.717
21,97,195017652979478,22864.726
22,80,195018659324127,23871.071
23,97,195019666088419,24877.835
24,71,195020667292429,25879.039
25,68,195021680640018,26892.387
26,79,195022686735425,27898.482
27,97,195023701463081,28913.210
28,89,195024714161220,29925.908
29,88,195025726008822,30937.756
30,92,195026739477315,31951.224
31,76,195027754024963,32965.772
32,79,195028754644440,33966.391
33,89,195029767898190,34979.645
34,71,195030771795838,35983.543
35,90,195031784261311,36996.008
36,87,195032788703671,38000.450
37,76,195033802849389,39014.596
38,77,195034805993021,40017.740
39,68,195035806325405,41018.072
40,84,195036821823563,42033.570
41,67,195037822516796,43034.264
42,82,195038831722095,44043.469
43,68,195039837286833,45049.034
44,71,195040855318935,46067.066
45,68,195041856473661,47068.220
46,66,195042868105435,48079.852
47,75,195043873129709,49084.876
48,76,195044884038137,50095.785
49,68,195045904265049,51116.012
50,90,195046909470380,52121.217
51,63,195047925715778,53137.463
52,89,195048938101591,54149.848
53,75,195049939300957,55151.048
54,89,195050951159817,56162.907
55,81,195051952869212,57164.616
56,62,195052957229095,58168.976
57,82,195053957518145,59169.265
58,81,195054979524295,60191.271
59,65,195055988254961,61200.002
60,92,195056993241927,62204.989
61,63,195058002242699,63213.989
62,96,195059009540741,64221.288
63,82,195060010188979,65221.936
64,82,195061013107776,66224.855
65,96,195062019716860,67231.464
66,79,195063024384560,68236.131
67,92,195064031180382,69242.927
68,87,195065037022571,70248.769
69,95,195066042810769,71254.558
70,93,195067047745767,72259.493
71,68,195068048530334,73260.277
72,65,195069053917495,74265.664
73,51,195070075398461,75287.145
74,79,195071078113990,76289.861
75,78,195072082610037,77294.357
76,92,195073097680737,78309.428
77,58,195074108740779,79320.488
78,80,195075131152358,80342.899
79,90,195076146067142,81357.814
80,89,195077160393033,82372.140
81,74,195078181381360,83393.128
82,85,195079182903505,84394.650
83,78,195080200753351,85412.500
84,83,195081209392284,86421.139
85,96,195082210702979,87422.450
86,82,195083222490116,88434.237
87,85,195084223728711,89435.475
88,94,195085224687539,90436.434
89,87,195086231285263,91443.032
90,86,195087235432571,92447.179
91,49,195088245794648,93457.541
92,86,195089256825172,94468.572
93,80,195090259465227,95471.212
94,88,195091268234697,96479.981
95,89,195092279178178,97490.925
96,69,195093280054568,98491.801
97,78,195094295118252,99506.865
98,89,195095301093381,100512.840
99,100,195096314969003,101526.716
100,97,195097319907883,102531.655
101,70,195098328338968,103540.086
102,98,195099329095388,104540.842
103,84,195100341433463,105553.180
104,56,195101356194528,106567.941
105,89,195102366118636,107577.865
106,88,195103377678147,108589.425
107,84,195104384515552,109596.262
108,57,195105389563726,110601.310
109,86,195106403582635,111615.329
110,68,195107405997876,112617.745
111,75,195108414060172,113625.807
112,72,195109423223821,114634.971
113,66,195110434628859,115646.376
114,86,195111445764414,116657.511
115,85,195112452493011,117664.240
116,82,195113466814872,118678.562
117,74,195114467711578,119679.458
118,75,195115471411262,120683.158
