index,frame_count,nano_time,elapsed_ms
0,20,197675845294286,1959.273
1,45,197676845095761,2959.074
2,78,197677846886523,3960.865
3,66,197678849833890,4963.812
4,61,197679864228926,5978.208
5,76,197680869967726,6983.946
6,52,197681885387900,7999.367
7,73,197682896315931,9010.295
8,72,197683906451312,10020.430
9,90,197684921119124,11035.098
10,87,197685923617252,12037.596
11,72,197686935795721,13049.774
12,90,197687940082116,14054.061
13,99,197688951559293,15065.538
14,53,197689955215696,16069.194
15,61,197690968247394,17082.226
16,92,197691971166876,18085.145
17,71,197692990737018,19104.716
18,93,197694006276872,20120.255
19,93,197695011201489,21125.180
20,75,197696019687611,22133.666
21,81,197697025748705,23139.727
22,76,197698045134685,24159.113
23,89,197699047119021,25161.098
24,52,197700058775267,26172.754
25,65,197701069172708,27183.151
26,69,197702072356552,28186.335
27,72,197703073276526,29187.255
28,79,197704088802277,30202.781
29,81,197705094048998,31208.028
30,72,197706096240374,32210.219
31,48,197707113487365,33227.466
32,77,197708120649937,34234.629
33,87,197709131258855,35245.237
34,76,197710149546078,36263.525
35,91,197711165214429,37279.193
36,73,197712177671981,38291.651
37,91,197713186138623,39300.117
38,87,197714199509739,40313.488
39,70,197715203915777,41317.894
40,70,197716208304578,42322.283
41,94,197717214633186,43328.612
42,81,197718222549719,44336.528
43,86,197719230414911,45344.394
44,69,197720238115229,46352.094
45,74,197721261786069,47375.765
46,85,197722261909041,48375.888
47,75,197723261964967,49375.944
48,74,197724264316757,50378.295
49,67,197725286093152,51400.072
50,72,197726289018918,52402.998
51,53,197727306391953,53420.371
52,61,197728307026540,54421.005
53,77,197729321658415,55435.637
54,89,197730323731946,56437.711
55,80,197731325555869,57439.534
56,58,197732329463934,58443.443
57,83,197733346401211,59460.380
58,91,197734346057171,60460.036
59,69,197735358285187,61472.264
60,67,197736369480815,62483.459
61,93,197737378196820,63492.175
62,65,197738389838504,64503.817
63,62,197739402787805,65516.766
64,94,197740406399186,66520.378
65,61,197741416333347,67530.312
66,76,197742421609046,68535.588
67,80,197743428879694,69542.858
68,77,197744439456018,70553.435
69,59,197745446481535,71560.460
70,102,197746453641095,72567.620
71,94,197747461402522,73575.381
72,85,197748462959143,74576.938
73,55,197749468848159,75582.827
74,61,197750480367944,76594.347
75,53,197751496683053,77610.662
76,47,197752508355006,78622.334
77,83,197753530751606,79644.730
78,84,197754531024853,80645.003
79,81,197755545650423,81659.629
80,62,197756547643315,82661.622
81,77,197757554046490,83668.025
82,88,197758566714805,84680.693
83,95,197759578979960,85692.959
84,53,197760592815553,86706.794
85,82,197761608990190,87722.969
86,77,197762609790985,88723.770
87,88,197763625400241,89739.379
88,79,197764630244438,90744.223
89,97,197765635316632,91749.295
90,68,197766645717383,92759.696
91,88,197767650094101,93764.073
92,78,197768671356707,94785.335
93,79,197769679971402,95793.950
94,89,197770694060138,96808.039
95,69,197771705966561,97819.945
96,90,197772716684552,98830.663
97,80,197773722661715,99836.640
98,107,197774730522298,100844.501
99,80,197775738163940,101852.143
100,69,197776756609642,102870.588
101,81,197777763495270,103877.474
102,79,197778769105304,104883.084
103,81,197779771044202,105885.023
104,68,197780774544236,106888.523
105,50,197781794297396,107908.276
106,79,197782800501514,108914.480
107,89,197783801016798,109914.995
108,80,197784812392088,110926.371
109,74,197785821753252,111935.732
110,93,197786826168962,112940.148
111,89,197787827310094,113941.289
112,60,197788847210892,114961.190
113,80,197789856869296,115970.848
114,81,197790867587285,116981.566
115,87,197791874291125,117988.270
116,52,197792876089479,118990.068
117,59,197793894593878,120008.572
