index,frame_count,nano_time,elapsed_ms
0,19,195239912041668,1732.503
1,74,195240923848700,2744.310
2,78,195241940198019,3760.659
3,86,195242945770524,4766.232
4,85,195243959861024,5780.322
5,71,195244960968285,6781.429
6,77,195245971192181,7791.653
7,94,195246976680865,8797.142
8,83,195247980418121,9800.879
9,97,195248989947369,10810.408
10,102,195250001435164,11821.896
11,100,195251004316412,12824.777
12,100,195252016438077,13836.899
13,95,195253042970570,14863.432
14,71,195254043554572,15864.016
15,79,195255048909110,16869.370
16,83,195256050818246,17871.279
17,94,195257060249991,18880.711
18,87,195258068358087,19888.819
19,84,195259070069553,20890.531
20,98,195260078152629,21898.614
21,62,195261078277492,22898.738
22,84,195262085627225,23906.088
23,59,195263089159376,24909.620
24,103,195264101456545,25921.918
25,103,195265108193701,26928.655
26,102,195266116058121,27936.519
27,71,195267117431356,28937.892
28,96,195268133942395,29954.403
29,93,195269135036264,30955.497
30,93,195270148892683,31969.354
31,83,195271156968539,32977.430
32,106,195272166564880,33987.026
33,62,195273179948860,35000.410
34,81,195274200192650,36020.654
35,91,195275211571512,37032.033
36,70,195276225381620,38045.843
37,105,195277230128244,39050.589
38,104,195278231653536,40052.115
39,69,195279246942992,41067.404
40,87,195280250826949,42071.288
41,87,195281258208245,43078.669
42,73,195282260136173,44080.597
43,97,195283262844990,45083.306
44,82,195284266182222,46086.643
45,82,195285272083446,47092.544
46,99,195286278358627,48098.820
47,89,195287292711702,49113.173
48,86,195288303426519,50123.888
49,95,195289318540177,51139.001
50,86,195290319410861,52139.872
51,100,195291336740657,53157.202
52,89,195292342460875,54162.922
53,83,195293351594010,55172.055
54,69,195294358292843,56178.754
55,91,195295366184332,57186.645
56,92,195296370959465,58191.420
57,83,195297374698731,59195.160
58,65,195298388350798,60208.812
59,52,195299401564855,61222.026
60,94,195300412290697,62232.752
61,97,195301424470173,63244.931
62,99,195302432622413,64253.083
63,76,195303449000733,65269.462
64,89,195304451207491,66271.668
65,89,195305458944120,67279.405
66,103,195306475447804,68295.909
67,86,195307485855043,69306.316
68,77,195308490766718,70311.228
69,80,195309508410199,71328.871
70,76,195310525196265,72345.657
71,81,195311532598113,73353.059
72,87,195312544951674,74365.413
73,78,195313553744405,75374.205
74,92,195314554591029,76375.052
75,80,195315557485351,77377.946
76,96,195316564515114,78384.976
77,73,195317571745938,79392.207
78,85,195318578887723,80399.349
79,73,195319598673204,81419.134
80,94,195320605502959,82425.964
81,97,195321606446188,83426.907
82,96,195322622539157,84443.000
83,83,195323630867430,85451.328
84,68,195324633788213,86454.249
85,82,195325646267490,87466.728
86,74,195326652866988,88473.328
87,67,195327656321653,89476.783
88,80,195328663099277,90483.560
89,91,195329671829914,91492.291
90,102,195330678267951,92498.729
91,85,195331692871762,93513.333
92,70,195332693476024,94513.937
93,88,195333696857528,95517.319
94,82,195334701156278,96521.617
95,109,195335710230223,97530.691
96,102,195336722977855,98543.439
97,67,195337730058168,99550.519
98,102,195338733675973,100554.137
99,104,195339744410762,101564.872
100,90,195340764968124,102585.429
101,80,195341765724603,103586.186
102,101,195342776683018,104597.144
103,89,195343782076776,105602.538
104,72,195344793172532,106613.634
105,78,195345796923518,107617.385
106,98,195346804155304,108624.616
107,77,195347808129226,109628.590
108,87,195348810639796,110631.101
109,107,195349825140583,111645.602
110,98,195350835482911,112655.944
111,96,195351836541893,113657.003
112,99,195352840872038,114661.333
113,81,195353855225603,115675.687
114,89,195354857010537,116677.472
115,82,195355862859268,117683.320
116,71,195356862988134,118683.449
117,101,195357870674918,119691.136
118,82,195358878073723,120698.535
